City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,Nemuro,43.3236,145.575,53.11,86,32,1.66,JP,2021-06-06 23:37:44
155,San Patricio,28.017,-97.5169,90.28,79,19,13.13,US,2021-06-06 23:36:31
156,Krugersdorp,-26.0858,27.7752,46.62,84,0,6.26,ZA,2021-06-06 23:38:56
157,Margate,51.3813,1.3862,60.69,84,57,1.01,GB,2021-06-06 23:30:28
158,Leland,34.2563,-78.0447,79.11,91,71,6.64,US,2021-06-06 23:38:57
159,Abnub,27.2696,31.1511,73.62,41,32,16.37,EG,2021-06-06 23:38:57
160,Tomatlan,19.9333,-105.25,88.2,48,47,9.57,MX,2021-06-06 23:38:58
161,Sur,22.5667,59.5289,83.75,77,1,8.03,OM,2021-06-06 23:38:58
162,Birmingham,33.5207,-86.8025,75.51,96,90,0.0,US,2021-06-06 23:38:36
163,Puerto Del Rosario,28.5004,-13.8627,69.55,73,100,12.66,ES,2021-06-06 23:38:58
164,Mindelo,16.8901,-24.9804,72.95,78,20,21.18,CV,2021-06-06 23:38:59
165,Taoudenni,22.6783,-3.9836,101.73,9,93,6.67,ML,2021-06-06 23:33:28
166,Weligama,5.9667,80.4167,78.69,88,95,9.95,LK,2021-06-06 23:38:59
167,Iqaluit,63.7506,-68.5145,33.53,86,75,5.99,CA,2021-06-06 23:35:49
168,Huarmey,-10.0681,-78.1522,64.89,86,97,7.49,PE,2021-06-06 23:38:59
169,Vanavara,60.34,102.2797,44.31,54,76,5.75,RU,2021-06-06 23:35:25
170,Ostrovnoy,68.0531,39.5131,38.05,92,8,6.35,RU,2021-06-06 23:36:48
171,Codrington,-38.2667,141.9667,58.64,60,100,23.67,AU,2021-06-06 23:34:53
172,Ketchikan,55.3422,-131.6461,54.07,82,75,14.97,US,2021-06-06 23:39:00
173,Athens,37.9795,23.7162,76.3,64,0,1.99,GR,2021-06-06 23:37:50
174,Kafanchan,9.5833,8.3,69.44,96,63,3.4,NG,2021-06-06 23:39:00
175,Limpapa,7.1197,121.9106,78.13,72,92,1.72,PH,2021-06-06 23:39:01
176,Alofi,-19.0595,-169.9187,80.49,61,48,9.22,NU,2021-06-06 23:36:52
177,Zhezkazgan,47.8043,67.7144,60.46,29,88,9.24,KZ,2021-06-06 23:39:01
178,Zheshart,62.0731,49.5733,49.06,80,68,6.31,RU,2021-06-06 23:39:01
179,Asau,46.4333,26.4,56.39,77,5,5.14,RO,2021-06-06 23:39:02
180,Poum,-20.2333,164.0167,73.45,57,85,15.08,NC,2021-06-06 23:36:32
181,Saint-Augustin,51.226,-58.6502,50.7,65,70,13.96,CA,2021-06-06 23:39:02
182,Macatuba,-22.5022,-48.7114,77.94,52,40,4.09,BR,2021-06-06 23:35:35
183,Qasigiannguit,68.8193,-51.1922,37.65,85,70,1.99,GL,2021-06-06 23:36:48
184,Teguise,29.0605,-13.564,64.62,77,75,14.58,ES,2021-06-06 23:39:03
185,Vestmanna,62.1564,-7.1664,47.32,100,90,4.99,FO,2021-06-06 23:39:03
186,Juneau,58.3019,-134.4197,56.84,87,75,1.99,US,2021-06-06 23:35:28
