City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Sabha,LY,80.67,overcast clouds,27.0377,14.4283,
417,Vila Velha,BR,71.94,few clouds,-20.3297,-40.2925,
419,Mareeba,AU,74.44,few clouds,-17.0,145.4333,
420,Seoul,KR,72.36,broken clouds,37.5683,126.9778,
421,Berea,US,83.46,broken clouds,41.3662,-81.8543,
423,Buchanan,LR,75.16,light rain,5.8808,-10.0467,
424,Mudhol,IN,73.13,few clouds,16.35,75.2833,
425,Tumpat,MY,82.45,overcast clouds,6.1978,102.171,
427,Shimoda,JP,79.16,overcast clouds,34.6667,138.95,
431,Morondava,MG,71.47,clear sky,-20.2833,44.2833,
432,Sitio Novo Do Tocantins,BR,80.67,overcast clouds,-5.5183,-47.4611,
434,Kudahuvadhoo,MV,82.71,scattered clouds,2.6708,72.8944,
435,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,
437,Lethem,GY,74.88,few clouds,3.3803,-59.7968,
439,Pishin,PK,75.04,clear sky,30.5803,66.9961,
441,Padang,ID,75.25,scattered clouds,-0.9492,100.3543,
443,Bima,ID,85.32,few clouds,-8.4667,118.7167,
445,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,
452,Remanso,BR,78.01,overcast clouds,-9.6179,-42.0831,
454,Champerico,GT,84.34,few clouds,14.3,-91.9167,
456,The Valley,AI,80.46,overcast clouds,18.217,-63.0578,
458,Kaohsiung,TW,78.75,moderate rain,22.6163,120.3133,
459,Myitkyina,MM,76.91,overcast clouds,25.3833,97.4,
460,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,
461,Sao Filipe,CV,75.02,few clouds,14.8961,-24.4956,
462,Xiuyan,CN,70.09,overcast clouds,40.2928,123.2744,
467,Charters Towers,AU,70.2,scattered clouds,-20.1,146.2667,
471,Umm Lajj,SA,82.08,clear sky,25.0213,37.2685,
472,Joao Camara,BR,74.44,clear sky,-5.5375,-35.8197,
473,Saint Anthony,US,89.74,clear sky,45.0205,-93.218,
474,Huanren,CN,71.4,clear sky,41.2647,125.3667,
475,Muskegon,US,82.83,broken clouds,43.3,-86.1334,
476,Wattegama,LK,75.81,overcast clouds,6.7989,81.4808,
477,Zhuhai,CN,84.7,scattered clouds,22.2769,113.5678,
486,Ukiah,US,85.12,clear sky,39.1502,-123.2078,
488,Bandrele,YT,78.55,light rain,-12.9067,45.1914,
